query SELECT * FROM [histr],,,,,,,,,,,,,
sort,,,,,,,,,,,,,
columns,text Body,text Name of Body,text Date,text Transaction number,Amount,text Supplier name,text Supplier ID,text VAT reg no,text Expense area,text Expense code,text Expense type,text Costcuk,text Creditor type
,Body,Name of Body,Date,Transaction number,Amount,Supplier name,Supplier ID,VAT reg no,Expense area,Expense code,Expense type,Costcuk,Creditor type
INSERTED DETAIL,18,Devon County Council,02/04/2026,22085911,"-9,958.87",WESTCOUNTRY HOUSING,264341,918221242,Children's Social Care,A52005,Payments to Other Local Authorities,R0026003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22086001,708.20,N H B S,16863,407484644,Highways & Infrastructure Development,A40005,Equipment & Materials Learning,R0557044,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22086352,"13,899.46",CORMAC CONTRACTING LIMITED,364276,247160514,"Capital - Planning, Transportation and Environment",C02009,Works,C0671003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22086373,"11,000.00",SOUTHWEST ESTATE MAINTENANCE LIMITED,401880,506499273,Capital - Highways,C02009,Works,C0652001,DCC CIS Suppliers
INSERTED DETAIL,18,Devon County Council,02/04/2026,22086665,"1,115.50",INVOLVE CARE SOLUTIONS LIMITED,402831,,Children's Social Care,A61200,Community based care,R0044007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22086823,"24,273.00",TEIGNBRIDGE DISTRICT COUNCIL,4872,142214023,Children's Social Care,A52005,Payments to Other Local Authorities,R0026003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22087153,766.13,WGP MAINTENANCE LIMITED,397367,948500609,Children's Social Care,A20010,"Property Repairs, Maintenance & Alterations (Reactive)",R0074001,DCC CIS Suppliers
INSERTED DETAIL,18,Devon County Council,02/04/2026,22087155,"6,837.00",HAMISH BENGOUGH,381961,186214754,"Capital - Planning, Transportation and Environment",C06001,Capital Grants paid to other third parties (Not WGA/VCSE),C0656001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22087224,900.00,LONDON BUILDING CONTROL LIMITED,318551,895840176,Capital - Schools Maintenance & Improvements,C02011,External Professional Fees,C0658001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22087243,817.64,SOUTH WEST WATER,392878,,Children's Social Care,A24005,Water Services,R0095001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
