Body,Name of Body,Date,Transaction number, Amount ,Supplier name,Supplier ID,VAT reg no,Expense area,Expense type,Expense code,Costcuk,Creditor type
18,Devon County Council,01/12/2025,22054013, 519.95 ,LINK MAILING SYSTEMS LIMITED,67625,643700261,Transformation & Business Services,Postages,A45015,R0333026,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22048580, 560.00 ,ELEMENTS CREATIVE THERAPY,400796,,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22052372, 560.00 ,ARMADA SOCIAL WORK SERVICES LIMITED,382784,395853540,"Chief Exec, Legal & Democratic services",Fees,A44038,R0276001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22048473, 600.00 ,JUSTIN KEENE,317338,368639347,Highways & Infrastructure Development,Other Hired & Contracting Services,A49005,R0552006,DCC CIS Suppliers
18,Devon County Council,01/12/2025,22048954, 600.00 ,DODDS SOLICITORS LLP,394172,729928286,"Chief Exec, Legal & Democratic services",Legal & Conveyancing Charges,A44968,R0276001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22022515, 625.00 ,COBWEBS (SOUTH WEST),107086,861158131,Operations,Miscellaneous expenditure,A62105,R0227036,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22051525, 646.37 ,MYGROUP SOLUTIONS LIMITED,395841,774316224,Highways & Infrastructure Development,Stationery,A43015,R0556001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22049105, 670.00 ,St Thomas Training Ltd,600178,130660644,P-Ledger - Separate Legal Entity,Fees,A44038,P0425001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22049107, 670.00 ,St Thomas Training Ltd,600178,130660644,People and Culture,Fees,A44038,R0303008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22050150, 678.08 ,INSTARMAC GROUP PLC,302188,295973982,Highways & Infrastructure Development,Stock Materials,A40070,R0554004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22050095, 767.10 ,SOUTH WEST COUNCILS,261183,131462795,People and Culture,Staff Training Expenses - Non Payroll,A16015,R0303002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22053760, 945.00 ,NeuroConnect CIC,382604,,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22050382," 1,000.00 ",The Fidget Project CIC,602565,,Children's Social Care,"Grants to voluntary, community and social enterprise organisations",A52010,R0007006,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22047623," 1,001.00 ",ORION MEDICAL SUPPLIES LIMITED,355162,142018357,Public Health,Payments to Private Contractors,A57115,R0316037,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22048804," 1,034.85 ",JO PULLIN,396604,,"Transport Operations, Environment and Waste",Fees,A44038,R0643001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22051256," 1,070.00 ",THE CONFLICT TRAINING COMPANY LIMITED,390117,921682916,Highways & Infrastructure Development,Staff Training Expenses - Non Payroll,A16015,R0558001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22050128," 1,149.69 ",OCEAN HEALTHCARE,371633,776836374,Operations,Agency Supply Staff,A11005,R0268001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22050202," 1,250.00 ",D B D CONTRACTS LIMITED,207940,,Inclusion & Learning,Postages,A45015,R0121001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22047612," 1,345.00 ",JUSTIN KEENE,317338,368639347,Highways & Infrastructure Development,Other Hired & Contracting Services,A49005,R0557017,DCC CIS Suppliers
18,Devon County Council,01/12/2025,22048583," 1,350.00 ",CURRYS GROUP LIMITED (MSTS REC AC),390252,226659933,"Economy, Enterprise and Skills",IT Software,A45040,R0539002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22049982," 1,600.00 ",LEONE ELLIS THERAPEUTIC SERVICES,398323,,Children's Social Care,Support for Children in Care,A61060,R0106002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22053087," 1,679.86 ",WESTCOUNTRY MAINTENANCE SERVICES LIMITED,229952,915005854,Children's Social Care,"Property Repairs, Maintenance & Alterations (programmed)",A20005,R0015001,DCC CIS Suppliers
18,Devon County Council,01/12/2025,22054137," 1,800.00 ",DENE TERRY TRADING AS SPACE ADAPT LEARN GROW,404230,,Children's Social Care,Community based care,A61200,R0046004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22053999," 1,950.00 ",DWS CONSULTANCY LIMITED,401968,489248632,Children's Social Care,Interim Management (External Agency),A11013,R0129001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22054000," 1,950.00 ",DWS CONSULTANCY LIMITED,401968,489248632,Children's Social Care,Interim Management (External Agency),A11013,R0129001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22042715," 2,100.00 ",RUNNING DEER COMMUNITY INTEREST COMPANY,293947,289345260,Dedicated Schools Grant,Other professional Services (Schools),A44185,R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22048560," 2,260.00 ",TEIGN TREES & LANDSCAPES SOUTH WEST LIMITED,209228,250371238,"Capital - Planning, Transportation and Environment",Works,C02009,C0671003,DCC CIS Suppliers
18,Devon County Council,01/12/2025,22049003," 2,428.77 ",HELEN SMART,373015,,"Transport Operations, Environment and Waste",Other Hired & Contracting Services,A49005,R0610001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22048574," 2,622.00 ",F W A G SOUTH WEST,316031,127629304,"Transport Operations, Environment and Waste",Fees,A44038,R0644001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22048567," 2,662.80 ",YOUTH ARTS AND HEALTH TRUST,340754,,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22053456," 2,663.34 ",THE COLOUR WORKS INTERNATIONAL LIMITED,394321,825444822,People and Culture,Staff Training Expenses - Non Payroll,A16015,R0472003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22048907," 2,998.50 ",TOPP TREE CARE LTD,389748,434623407,Highways & Infrastructure Development,Other Hired & Contracting Services,A49005,R0553005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22052242," 3,411.20 ",PROMIND CARE LIMITED,404732,,Operations,Fees,A44038,R0222002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22050914," 3,750.00 ",WESTCOUNTRY RIVERS TRUST,17211,115136941,"Transport Operations, Environment and Waste",Fees,A44038,R0579007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22050104," 4,350.00 ",POLES APART AP LIMITED,382940,415121054,Dedicated Schools Grant,Other professional Services (Schools),A44185,R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22048626," 5,485.91 ",ACORN CARE & EDUCATION LIMITED,333557,902188441,Dedicated Schools Grant,Independent Special School Fees,A61052,R0089003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22050073," 6,070.00 ",PETROC,7114,585821996,Dedicated Schools Grant,Other professional Services (Schools),A44185,R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22050075," 6,070.00 ",PETROC,7114,585821996,Dedicated Schools Grant,Other professional Services (Schools),A44185,R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22050177," 6,975.50 ",PLYMOUTH CITYBUS LIMITED,13532,447433443,"Transport Operations, Environment and Waste",Contract Hire Scheme,A32010,R0575001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22051578," 7,722.27 ",MARINE & CIVIL SOLUTIONS LIMITED,283395,431868383,Highways & Infrastructure Development,Main / Term Contractor,A46100,R0554001,DCC CIS Suppliers
18,Devon County Council,01/12/2025,22048420," 9,122.00 ",RSK HI-LINE LIMITED,71745,397835628,"Capital - Planning, Transportation and Environment",Works,C02009,C0654001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/12/2025,22049698," 11,906.15 ",IDVERDE LIMITED,24676,190173669,Finance & Public Value,Service Term Contracts,A20030,R0213002,DCC CIS Suppliers
18,Devon County Council,01/12/2025,22048612," 40,414.18 ",NATIONAL STAR COLLEGE,198286,,Dedicated Schools Grant,Independent Special School Fees,A61052,R0089001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/12/2025,22054588, 500.00 ,WOLLEN MICHELMORE SOLICITOR LLP,336173,,"Chief Exec, Legal & Democratic services",Legal & Conveyancing Charges,A44968,R0276001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/12/2025,22054726, 506.00 ,WSP UK LIMITED,85394,905054942,Capital - Highways,External Professional Fees,C02011,C0671004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/12/2025,22047693, 559.80 ,BLEEP 360 CARE LIMITED,360406,355167685,Children's Social Care,Community based care,A61200,R0044004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/12/2025,22017379, 593.28 ,TEAM EDUCATE LIMITED BACS,371802,336808777,Dedicated Schools Grant,Services for Educational Estabs - Devon,A44180,R0010004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/12/2025,22054125, 608.16 ,PROSPERO RECRUITMENT LIMITED,352539,486704947,Dedicated Schools Grant,Other professional Services (Schools),A44185,R0082002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/12/2025,22048535, 620.55 ,TORRIDGE DISTRICT COUNCIL,4707,144666062,"Transport Operations, Environment and Waste",Main / Term Contractor,A46100,R0596002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
