Body,Name of Body,Date,Transaction number, Amount ,Supplier name,Supplier ID,VAT reg no,Expense area,Expense type,Expense code,Costcuk,Creditor type
18,Devon County Council,02/01/2026,22058220, 504.00 ,FAMILY COMPASS,348346,392295664,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/01/2026,22058310, 504.00 ,FAMILY COMPASS,348346,392295664,Children's Social Care,Support for Children in Care,A61060,R0106002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/01/2026,22058318, 504.00 ,FAMILY COMPASS,348346,392295664,Children's Social Care,Support for Children in Care,A61060,R0106002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/01/2026,22058766, 504.00 ,FAMILY COMPASS,348346,392295664,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/01/2026,22058770, 504.00 ,FAMILY COMPASS,348346,392295664,Children's Social Care,Support for Children in Care,A61060,R0106002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/01/2026,22058830, 504.00 ,FAMILY COMPASS,348346,392295664,Children's Social Care,Support for Children in Care,A61060,R0106002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/01/2026,22050656, 549.00 ,LOCAL GOVERNMENT ASSOCIATION,308865,676078107,"Chief Exec, Legal & Democratic services",Conference Expenses,A46050,R0282001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/01/2026,22052208, 600.00 ,SAM WYSOKI CARE OF WALNUT HOUSE,386626,438365277,"Chief Exec, Legal & Democratic services",Legal & Conveyancing Charges,A44968,R0276001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/01/2026,22061233, 600.00 ,MINDJAM LIMITED,388507,410654920,Dedicated Schools Grant,Other professional Services (Schools),A44185,R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/01/2026,22058414, 611.05 ,TEAM EDUCATE LIMITED BACS,374563,336808777,Dedicated Schools Grant,Services for Educational Estabs - Devon,A44180,R0010004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/01/2026,22060955, 625.00 ,G AND P SERVICES,353029,,"Transport Operations, Environment and Waste",Main / Term Contractor,A46100,R0601001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/01/2026,22058309, 756.00 ,FAMILY COMPASS,348346,392295664,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/01/2026,22060839, 760.20 ,PROSPERO RECRUITMENT LIMITED,352539,486704947,Dedicated Schools Grant,Other professional Services (Schools),A44185,R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/01/2026,22060027, 819.00 ,SPECTRUM SENSORY THERAPIES LTD,406310,,Dedicated Schools Grant,Other professional Services (Schools),A44185,R0082006,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/01/2026,22059543, 875.00 ,RICHARD GREEN ECOLOGY LIMITED,272615,113421075,Capital - Highways,Works,C02009,C0671004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
