Body,Name of Body,Date,Transaction number, Amount ,Supplier name,Supplier ID,VAT reg no,Expense area,Expense type,Expense code,Costcuk,Creditor type
18,Devon County Council,18/03/2026,150380071," 7,668.11 ",M Group Highways Limited,375383,927200546,Capital - Highways,Term Maintenance Contract,C02051,C0652001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22079221," 7,871.85 ",Elmtree Learning Partnership Ltd,601452,,Dedicated Schools Grant,Other professional Services (Schools),A44185,R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22078789," 7,923.08 ",KEYS PCE LIMITED,363936,927104637,Dedicated Schools Grant,Independent Special School Fees,A61052,R0089003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150380068," 7,967.71 ",M Group Highways Limited,375383,927200546,Highways & Infrastructure Development,Main / Term Contractor,A46100,R0554004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22076921," 8,025.00 ",INSPIRE SOUTH WEST,326670,,Dedicated Schools Grant,Other professional Services (Schools),A44185,R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22076554," 8,174.50 ",TOPP TREE CARE LTD,389748,434623407,Highways & Infrastructure Development,Other Hired & Contracting Services,A49005,R0550003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22078772," 8,353.66 ",SPORTS CLUBHOUSES,370863,171688381,"Capital - Planning, Transportation and Environment",External Professional Fees,C02011,C0671003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22076361," 8,433.36 ",SWATPRO LIMITED,402796,,"Economy, Enterprise and Skills",Fees,A44038,R0546004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150381087," 8,465.61 ",M Group Highways Limited,375383,927200546,Capital - Highways,Term Maintenance Contract,C02051,C0671005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22076029," 8,467.20 ",SOUTH DEVON COLLEGE,23677,585836291,"Economy, Enterprise and Skills",Fees,A44038,R0546004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22082875," 8,599.60 ",MERCURY CONSTRUCTION (SOUTH WEST)  LIMITED,250527,892673673,Capital - SEND Schools,Works,C02009,C0660001,DCC CIS Suppliers
18,Devon County Council,18/03/2026,22077545," 8,895.09 ",NORSE SOUTH WEST LIMITED,279741,785421021,Transformation & Business Services,Main / Term Contractor,A46100,R0334006,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22079172," 9,018.00 ",ACCESS INDEPENDENT,362868,158078583,"Chief Exec, Legal & Democratic services",Fees,A44038,R0291003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22078792," 9,034.80 ",ORION MEDICAL SUPPLIES LIMITED,355162,142018357,Public Health,Waste Contractors Payments,A57040,R0316047,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22078856," 9,095.00 ",DYS SPACE LIMITED,341799,253749579,Dedicated Schools Grant,Bought in Professnl Servs-Curric,A49006,R0107001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22076030," 9,240.00 ",SOUTH DEVON COLLEGE,23677,585836291,"Economy, Enterprise and Skills",Fees,A44038,R0546004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22079837," 9,480.00 ",Built by Bison Ltd,283780,975782067,Capital - Highways,Works,C02009,C0652001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22076886," 9,650.00 ",John Packer Limited,69241,634556136,Capital - Devon Music Hub,IT Hardware,C04010,C0671014,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22076683," 9,918.00 ",INSPIRE SOUTH WEST,326670,,Dedicated Schools Grant,Other professional Services (Schools),A44185,R0082002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22083501," 9,945.67 ",RESOURCE FUTURES LIMITED,203252,879559738,P-Ledger - Separate Legal Entity,Other Hired & Contracting Services,A49005,P0419001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150381006," 10,000.00 ",M Group Highways Limited,375383,927200546,Capital - Highways,Term Maintenance Contract,C02051,C0671007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22076919," 10,035.36 ",INSPIRE SOUTH WEST,326670,,Dedicated Schools Grant,Other professional Services (Schools),A44185,R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22078957," 10,236.50 ",RESOURCE FUTURES LIMITED,203252,879559738,"Transport Operations, Environment and Waste",Main / Term Contractor,A46100,R0606006,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22078479," 10,444.50 ",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children's Social Care,Agency Supply Staff,A11005,R0095010,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22079183," 10,612.88 ",ACCESS COMMUNICATION SERVICES,352622,,Children's Social Care,Community based care,A61200,R0044004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150380081," 10,623.61 ",M Group Highways Limited,375383,927200546,Highways & Infrastructure Development,Main / Term Contractor,A46100,R0554001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22079147," 10,626.00 ",THE EDUCATION COMPANY LIMITED,80154,573768493,Transformation & Business Services,IT Software,A45040,R0353008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22076027," 10,680.00 ",SOUTH DEVON COLLEGE,23677,585836291,"Economy, Enterprise and Skills",Fees,A44038,R0546004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150381105," 10,861.06 ",M Group Highways Limited,375383,927200546,Capital - Highways,Term Maintenance Contract,C02051,C0671005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22076952," 10,906.07 ",ARCADIS CONSULTING UK LIMITED,315903,762995771,"Transport Operations, Environment and Waste",Fees,A44038,R0579007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22079410," 11,065.72 ",GCI NETWORK SOLUTIONS TA NASSTAR,380659,199872429,Transformation & Business Services,IT Hardware Maintenance,A45008,R0353008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22079410," 11,065.73 ",GCI NETWORK SOLUTIONS TA NASSTAR,380659,199872429,Transformation & Business Services,IT Hardware Maintenance,A45008,R0353008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22082455," 11,615.41 ",KENNFORD TARMACADAM LIMITED,24534,976391178,Capital - Highways,Works,C02009,C0652001,DCC CIS Suppliers
18,Devon County Council,18/03/2026,22076994," 12,453.00 ",THE FIRST FEDERATION TRUST,284295,180744404,Dedicated Schools Grant,Other Recoupment Expenditure (3rd),A53035,R0111004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
