Body,Name of Body,Date,Transaction number, Amount ,Supplier name,Supplier ID,VAT reg no,Expense area,Expense type,Expense code,Costcuk,Creditor type
18,Devon County Council,03/11/2025,22042404, 507.50 ,MATTHEW HEATH T/A SOUTHWEST ESTATE MAINTENANCE LIMITED,401880,,Capital - Highways,Works,C02009,C0652001,DCC CIS Suppliers
18,Devon County Council,03/11/2025,22039080, 550.00 ,DR HELEN ROWE,381282,,Children's Social Care,Support for Children in Care,A61060,R0106002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/11/2025,22045955, 563.00 ,NOVZES LIMITED TRADING AS BACKWORLD,384254,303427636,Mental Health,Furniture,A40045,R0256006,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/11/2025,22042998, 585.00 ,PSYCHOLOGY ASSOCIATION LIMITED (SALTASH),147932,912873418,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/11/2025,22042709, 656.23 ,PERSON CENTRED SOFTWARE LIMITED,340281,162981976,Operations,Licences - General,A49075,R0268001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/11/2025,22046736, 752.50 ,BROWNE JACOBSON LLP,190677,116396270,"Chief Exec, Legal & Democratic services",Legal & Conveyancing Charges,A44968,R0288001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/11/2025,22038986, 862.30 ,YOUTH ARTS AND HEALTH TRUST,340754,,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/11/2025,22039001, 893.75 ,YOUTH ARTS AND HEALTH TRUST,340754,,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/11/2025,22043824," 1,110.82 ",WESSEX TREE SURGEONS LIMITED,18324,382780231,Highways & Infrastructure Development,Other Hired & Contracting Services,A49005,R0553005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/11/2025,22042373," 1,695.57 ",P & I PROPERTY MAINTENANCE,397907,,Children's Social Care,"Property Repairs, Maintenance & Alterations (Reactive)",A20010,R0074001,DCC CIS Suppliers
18,Devon County Council,03/11/2025,22046402," 1,767.22 ",OCULAR INTEGRATION LIMITED,368413,417069846,Capital - Highways,Works,C02009,C0671005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/11/2025,22043039," 1,845.99 ",QUALITY MARKING SERVICES LIMITED,86608,777323994,Highways & Infrastructure Development,Other Hired & Contracting Services,A49005,R0552003,DCC CIS Suppliers
18,Devon County Council,03/11/2025,22043824," 1,951.74 ",WESSEX TREE SURGEONS LIMITED,18324,382780231,Highways & Infrastructure Development,Other Hired & Contracting Services,A49005,R0553005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/11/2025,22044620," 2,400.00 ",EXETER PAEDIATRIC I C S LIMITED,373429,,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/11/2025,22037569," 2,450.00 ",HELD HEALTH LIMITED,392625,,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/11/2025,22041672," 2,500.00 ",SOUTH DEVON YOUTH JAZZ,387983,,Inclusion & Learning,Payments to Independent Units,A53012,R0101001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/11/2025,22038501," 2,968.85 ",ST PETER'S PREPARATORY SCHOOL,52507,479250267,Dedicated Schools Grant,Independent Special School Fees,A61052,R0089003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/11/2025,22042859," 4,418.28 ",DSI BILLING SERVICES LIMITED,338643,739980671,Public Health Nursing,Other Supplies & Services,A49105,R0019003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/11/2025,22042559," 4,591.70 ",CANTIUM BUSINESS SOLUTIONS LIMITED,354810,294540288,People and Culture,Other Employee Expenses,A12510,R0472004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
